provider_id,name,registration_number,qualification,specialization,hospital,address,phone,mobile,email,city,state,consultation_fee,timings,languages,expected_error_type
P150,Dr. Anjali Singh,WBMC/88798/2020,"MBBS, MD, DM (Cardiology)",Cardiologist,Apollo Gleneagles,"773, Howrah, Kolkata, West Bengal - 700483",033-29838717,+91-6866562392,dr.anjali.singh@apollo.com,Kolkata,West Bengal,₹1200-2000,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Bengali",OUTDATED_PHONE
P151,Dr. Pooja Mehta,DMC/44453/2022,"MBBS, MD (Dermatology)",Dermatologist,BLK Hospital,"41, Lajpat Nagar, Delhi, Delhi - 110480",011-50686913,+91-9794190983,dr.pooja.mehta@blk.com,Delhi,Delhi,₹600-1000,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi",CORRECT_DATA
P152,Dr. Meera Patel,KMC/35559/2008,"MBBS, MD (Medicine)",General Physician,City Care Clinic,"865, HSR Layout, Bangalore, Karnataka - 560588",080-66517866,+91-8219061930,dr.meera.patel@city.com,Bangalore,Karnataka,₹400-600,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Kannada",CORRECT_DATA
P153,Dr. Ajay Mehta,RMC/57846/2023,"MBBS, MD (Dermatology)",Dermatologist,Gandhi Nagar Clinic,"318, Sadul Ganj, Bikaner, Rajasthan - 334312",0151-74381976,+91-7145548626,dr.ajay.mehta@gandhi.com,Bikaner,Rajasthan,₹500-800,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",HOSPITAL_CHANGED
P154,Dr. Neha Pillai,UPMC/29142/2013,"BDS, MDS",Dentist,Hazratganj Medical,"920, Hazratganj, Lucknow, Uttar Pradesh - 226869",0522-43702234,+91-7118062723,dr.neha.pillai@hazratganj.com,Lucknow,Uttar Pradesh,₹500-800,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Hindi",CORRECT_DATA
P155,Dr. Kavita Rao,KMC/52502/2021,"MBBS, MD (Pediatrics)",Pediatrician,Apollo Hospital Bangalore,"967, BTM Layout, Bangalore, Karnataka - 560978",080-79538809,+91-8101528960,dr.kavita.rao@apollo.com,Bangalore,Karnataka,₹500-800,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Kannada",HOSPITAL_CHANGED
P156,Dr. Ajay Desai,DMC/59325/2011,"MBBS, MS (Orthopedics)",Orthopedic Surgeon,Max Super Speciality Saket,"593, Dwarka, Delhi, Delhi - 110570",011-47384825,+91-8678934536,dr.ajay.desai@max.com,Delhi,Delhi,₹1000-1500,Mon-Sat: 9 AM - 5 PM,"English, Hindi",CORRECT_DATA
P157,Dr. Sunita Verma,RMC/26724/2017,"MBBS, MD (Medicine)",General Physician,SMS Hospital,"486, Tonk Road, Jaipur, Rajasthan - 302547",0141-52502080,+91-7703296940,dr.sunita.verma@sms.com,Jaipur,Rajasthan,₹400-600,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",CORRECT_DATA
P158,Dr. Sanjay Joshi,WBMC/29439/2010,"MBBS, MD (Dermatology)",Dermatologist,Park Street Clinic,"65, Behala, Kolkata, West Bengal - 700353",033-39905747,+91-6817893951,dr.sanjay.joshi@park.com,Kolkata,West Bengal,₹600-1000,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Bengali",OUTDATED_PHONE
P159,Dr. Nisha Nair,RMC/17305/2008,"MBBS, MD (Medicine)",General Physician,CK Birla Hospital RBH,"651, Tonk Road, Jaipur, Rajasthan - 302727",0141-92648643,+91-7353475469,dr.nisha.nair@ck.com,Jaipur,Rajasthan,₹400-600,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Hindi",CORRECT_DATA
P160,Dr. Divya Nair,DMC/21391/2008,"MBBS, MD (Medicine)",General Physician,BLK Hospital,"114, Rohini, Delhi, Delhi - 110957",011-75768172,+91-94435735,dr.divya.nair@blk.com,Delhi,Delhi,₹300-500,Tue-Sun: 11 AM - 7 PM,"English, Hindi",CORRECT_DATA
P161,Dr. Priya Menon,DMC/50805/2010,"MBBS, DLO",ENT Specialist,AIIMS Delhi,"545, Connaught Place, Delhi, Delhi - 110324",011-91827958,+91-9170800844,dr.priya.menon@aiims.com,Delhi,Delhi,₹600-1000,Mon-Sat: 9 AM - 5 PM,"English, Hindi",CORRECT_DATA
P162,Dr. Lakshmi Iyer,RMC/34656/2017,"BDS, MDS",Dentist,CK Birla Hospital RBH,"586, Raja Park, Jaipur, Rajasthan - 302933",0141-95141100,+91-715395568,dr.lakshmi.iyer@ck.com,Jaipur,Rajasthan,₹500-800,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Hindi",CORRECT_DATA
P163,Dr. Rahul Sharma,UPMC/22449/2010,"MBBS, MD, DM (Neurology)",Neurologist,Apollo Medics Hospital,"392, Alambagh, Lucknow, Uttar Pradesh - 226103",0522-27114164,+91-6150598637,dr.rahul.sharma@apollo.com,Lucknow,Uttar Pradesh,₹600-1000,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Hindi",OUTDATED_PHONE
P164,Dr. Deepak Verma,RMC/34736/2021,"BDS, MDS",Dentist,Sadul Hospital,"521, Ganga Shahar, Bikaner, Rajasthan - 334143",0151-73540258,+91-9335338271,dr.deepak.verma@sadul.com,Bikaner,Rajasthan,₹600-1000,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Hindi",CORRECT_DATA
P165,Dr. Suresh Sharma,RMC/96878/2010,"MBBS, MD (Medicine)",General Physician,Eternal Heart Care,"107, Vaishali Nagar, Jaipur, Rajasthan - 302873",0141-71496447,+91-779397156,dr.suresh.sharma@eternal.com,Jaipur,Rajasthan,₹300-500,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Hindi",CORRECT_DATA
P166,Dr. Ritu Patel,TSMC/39843/2012,"MBBS, MS (Orthopedics)",Orthopedic Surgeon,Sunrise Clinic,"655, Banjara Hills, Hyderabad, Telangana - 500652",040-57432362,+91-8460174136,dr.ritu.patel@sunrise.com,Hyderabad,Telangana,₹1000-1500,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Telugu",CORRECT_DATA
P167,Dr. Nisha Joshi,RMC/81424/2016,"MBBS, MD (Pediatrics)",Pediatrician,CK Birla Hospital RBH,"583, Malviya Nagar, Jaipur, Rajasthan - 302523",0141-50261164,+91-8937429749,dr.nisha.joshi@ck.com,Jaipur,Rajasthan,₹500-800,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Hindi",CORRECT_DATA
P168,Dr. Ritu Iyer,TNMC/47954/2017,"MBBS, MD (Medicine)",General Physician,Kauvery Hospital Alwarpet,"978, T Nagar, Chennai, Tamil Nadu - 600930",044-53734200,+91-7287050386,dr.ritu.iyer@kauvery.com,Chennai,Tamil Nadu,₹300-500,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Tamil",CORRECT_DATA
P169,Dr. Arun Verma,UPMC/79025/2019,"MBBS, MD (Pediatrics)",Pediatrician,King George Medical University,"643, Indira Nagar, Lucknow, Uttar Pradesh - 226666",0522-95073333,+91-95860502,dr.arun.verma@king.com,Lucknow,Uttar Pradesh,₹600-1000,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",CORRECT_DATA
P170,Dr. Preeti Pillai,DMC/92330/2022,"MBBS, MD, DM (Cardiology)",Cardiologist,Apollo Hospital Sarita Vihar,"358, Connaught Place, Delhi, Delhi - 110351",011-43394746,+91-76551022,dr.preeti.pillai@apollo.com,Delhi,Delhi,₹1200-2000,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi",CORRECT_DATA
P171,Dr. Suresh Rao,RMC/42088/2020,"MBBS, MS (Orthopedics)",Orthopedic Surgeon,SMS Hospital,"385, Vaishali Nagar, Jaipur, Rajasthan - 302189",0141-59514885,+91-8293499203,dr.suresh.rao@sms.com,Jaipur,Rajasthan,₹800-1200,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Hindi",HOSPITAL_CHANGED
P172,Dr. Deepak Kumar,RMC/58134/2012,"MBBS, MD (Dermatology)",Dermatologist,Eternal Heart Care,"993, C Scheme, Jaipur, Rajasthan - 302993",0141-64147210,+91-7503423442,dr.deepak.kumar@eternal.com,Jaipur,Rajasthan,₹600-1000,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Hindi",CORRECT_DATA
P173,Dr. Ritu Rao,RMC/22580/2020,"MBBS, MS (Obstetrics & Gynaecology)",Gynecologist,Malviya Nagar Clinic,"156, Mansarovar, Jaipur, Rajasthan - 302899",0141-47439670,+91-9956394172,dr.ritu.rao@malviya.com,Jaipur,Rajasthan,₹600-1000,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Hindi",CORRECT_DATA
P174,Dr. Manoj Joshi,KMC/53502/2013,"MBBS, MD (Medicine)",General Physician,Columbia Asia Hebbal,"459, HSR Layout, Bangalore, Karnataka - 560249",080-92245065,+91-7239884656,dr.manoj.joshi@columbia.com,Bangalore,Karnataka,₹300-500,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Kannada",CORRECT_DATA
P175,Dr. Sneha Desai,MMC/38812/2019,"MBBS, MS (Obstetrics & Gynaecology)",Gynecologist,Suburban Clinic,"113, Thane, Mumbai, Maharashtra - 400389",022-43274735,+91-7609901369,dr.sneha.desai@suburban.com,Mumbai,Maharashtra,₹600-1000,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Marathi",CORRECT_DATA
P176,Dr. Lakshmi Kulkarni,RMC/36049/2014,"MBBS, MS (Ophthalmology)",Ophthalmologist,Pink City Hospital,"936, Mansarovar, Jaipur, Rajasthan - 302347",0141-77870642,+91-7683031192,dr.lakshmi.kulkarni@pink.com,Jaipur,Rajasthan,₹500-800,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Hindi",CORRECT_DATA
P177,Dr. Ritu Mehta,UPMC/47853/2023,"MBBS, MD (Medicine)",General Physician,SGPGIMS,"977, Gomti Nagar, Lucknow, Uttar Pradesh - 226896",0522-83910703,+91-841707839,dr.ritu.mehta@sgpgims.com,Lucknow,Uttar Pradesh,₹300-500,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Hindi",CORRECT_DATA
P178,Dr. Anand Mehta,RMC/41361/2017,"MBBS, MD (Pediatrics)",Pediatrician,Royal Hospital,"745, Station Road, Bikaner, Rajasthan - 334228",0151-49311261,+91-7771382,dr.anand.mehta@royal.com,Bikaner,Rajasthan,₹600-1000,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",CORRECT_DATA
P179,Dr. Ashok Singh,TNMC/62045/2009,"MBBS, MD (Medicine)",General Physician,Fortis Malar Hospital,"612, Adyar, Chennai, Tamil Nadu - 600323",044-37342932,+91-6567991742,dr.ashok.singh@fortis.com,Chennai,Tamil Nadu,₹300-500,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Tamil",MULTIPLE_CONFLICTS
P180,Dr. Ritu Agarwal,DMC/92228/2022,"MBBS, MD (Medicine)",General Physician,Metro Hospital,"613, Lajpat Nagar, Delhi, Delhi - 110173",011-45418431,+91-9808374168,dr.ritu.agarwal@metro.com,Delhi,Delhi,₹400-600,Mon-Fri: 10 AM - 6 PM,"English, Hindi",CORRECT_DATA
P181,Dr. Anand Joshi,TSMC/42759/2022,"MBBS, MD (Medicine)",General Physician,Apollo Hospital Jubilee Hills,"164, Gachibowli, Hyderabad, Telangana - 500336",040-43315472,+91-742991515,dr.anand.joshi@apollo.com,Hyderabad,Telangana,₹300-500,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Telugu",CORRECT_DATA
P182,Dr. Ritu Patel,WBMC/87002/2023,"MBBS, MD (Pediatrics)",Pediatrician,Apollo Gleneagles,"867, New Town, Kolkata, West Bengal - 700664",033-68709862,+91-7924557957,dr.ritu.patel@apollo.com,Kolkata,West Bengal,₹600-1000,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Bengali",CORRECT_DATA
P183,Dr. Ritu Desai,WBMC/32937/2023,"MBBS, MD (Medicine)",General Physician,Alipore Medical Center,"705, Behala, Kolkata, West Bengal - 700127",033-55176739,+91-8182078278,dr.ritu.desai@alipore.com,Kolkata,West Bengal,₹300-500,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Bengali",CORRECT_DATA
P184,Dr. Sanjay Sharma,KMC/51552/2008,"MBBS, MD, DM (Cardiology)",Cardiologist,Wellness Hospital,"652, Koramangala, Bangalore, Karnataka - 560305",080-92607716,+91-7137778721,dr.sanjay.sharma@wellness.com,Bangalore,Karnataka,₹1200-2000,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Kannada",CORRECT_DATA
P185,Dr. Ashok Iyer,UPMC/45926/2022,"MBBS, MD, DM (Neurology)",Neurologist,SGPGIMS,"786, Gomti Nagar, Lucknow, Uttar Pradesh - 226278",0522-29187674,+91-6796095843,dr.ashok.iyer@sgpgims.com,Lucknow,Uttar Pradesh,₹500-800,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Hindi",OUTDATED_PHONE
P186,Dr. Meera Sharma,KMC/11297/2014,"MBBS, MD (Medicine)",General Physician,City Care Clinic,"290, BTM Layout, Bangalore, Karnataka - 560479",080-36016378,+91-641050958,dr.meera.sharma@city.com,Bangalore,Karnataka,₹300-500,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Kannada",OUTDATED_PHONE
P187,Dr. Ajay Rao,UPMC/32587/2017,"MBBS, MD (Medicine)",General Physician,Medanta Hospital Lucknow,"628, Indira Nagar, Lucknow, Uttar Pradesh - 226347",0522-26249671,+91-630429017,dr.ajay.rao@medanta.com,Lucknow,Uttar Pradesh,₹400-600,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Hindi",MULTIPLE_CONFLICTS
P188,Dr. Lakshmi Kulkarni,GMC/63460/2012,"MBBS, MD (Medicine)",General Physician,West Zone Hospital,"230, Navrangpura, Ahmedabad, Gujarat - 380121",079-57110669,+91-9737743125,dr.lakshmi.kulkarni@west.com,Ahmedabad,Gujarat,₹400-600,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Gujarati",CORRECT_DATA
P189,Dr. Ashok Gupta,MMC/48097/2013,"MBBS, MD (Medicine)",General Physician,Aditya Birla Hospital,"417, Koregaon Park, Pune, Maharashtra - 411814",020-46989543,+91-9396288911,dr.ashok.gupta@aditya.com,Pune,Maharashtra,₹300-500,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Marathi",CORRECT_DATA
P190,Dr. Arun Kulkarni,WBMC/45103/2023,"MBBS, DLO",ENT Specialist,Alipore Medical Center,"747, Salt Lake, Kolkata, West Bengal - 700178",033-26645331,+91-6272787449,dr.arun.kulkarni@alipore.com,Kolkata,West Bengal,₹500-800,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Bengali",MULTIPLE_CONFLICTS
P191,Dr. Ramesh Desai,RMC/64270/2012,"MBBS, MD (Dermatology)",Dermatologist,PBM Hospital,"776, Sadul Ganj, Bikaner, Rajasthan - 334945",0151-35394427,+91-6553277838,dr.ramesh.desai@pbm.com,Bikaner,Rajasthan,₹600-1000,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",MULTIPLE_CONFLICTS
P192,Dr. Lakshmi Mehta,RMC/14707/2022,"MBBS, MD (Pediatrics)",Pediatrician,PBM Hospital,"347, Gandhi Nagar, Bikaner, Rajasthan - 334843",0151-76694901,+91-9817314347,dr.lakshmi.mehta@pbm.com,Bikaner,Rajasthan,₹600-1000,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Hindi",CORRECT_DATA
P193,Dr. Meera Menon,WBMC/71857/2019,"MBBS, MD (Pediatrics)",Pediatrician,Medica Superspecialty,"880, New Town, Kolkata, West Bengal - 700482",033-73845154,+91-7385532386,dr.meera.menon@medica.com,Kolkata,West Bengal,₹500-800,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Bengali",CORRECT_DATA
P194,Dr. Rajesh Nair,MMC/81608/2023,"MBBS, MD (Pediatrics)",Pediatrician,Aditya Birla Hospital,"735, Koregaon Park, Pune, Maharashtra - 411161",020-62276575,+91-7706416593,dr.rajesh.nair@aditya.com,Pune,Maharashtra,₹500-800,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Marathi",CORRECT_DATA
P195,Dr. Nitin Menon,WBMC/85324/2019,"MBBS, MD (Medicine)",General Physician,Apollo Gleneagles,"616, New Town, Kolkata, West Bengal - 700540",033-95392364,+91-9848243207,dr.nitin.menon@apollo.com,Kolkata,West Bengal,₹300-500,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Bengali",CORRECT_DATA
P196,Dr. Kavita Patel,KMC/30657/2011,"MBBS, MS (Ophthalmology)",Ophthalmologist,City Care Clinic,"936, BTM Layout, Bangalore, Karnataka - 560962",080-34928625,+91-6896655635,dr.kavita.patel@city.com,Bangalore,Karnataka,₹600-1000,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Kannada",MULTIPLE_CONFLICTS
P197,Dr. Kavita Rao,WBMC/58882/2023,"MBBS, MD, DM (Neurology)",Neurologist,Park Street Clinic,"839, Alipore, Kolkata, West Bengal - 700661",033-78394413,+91-7571031939,dr.kavita.rao@park.com,Kolkata,West Bengal,₹500-800,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Bengali",CORRECT_DATA
P198,Dr. Vikram Desai,RMC/30426/2018,"MBBS, MD (Medicine)",General Physician,Fortis Escorts Hospital,"270, Mansarovar, Jaipur, Rajasthan - 302940",0141-38287950,+91-6886843956,dr.vikram.desai@fortis.com,Jaipur,Rajasthan,₹400-600,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",MULTIPLE_CONFLICTS
P199,Dr. Karthik Sharma,UPMC/13562/2018,"MBBS, MD (Pediatrics)",Pediatrician,SGPGIMS,"86, Gomti Nagar, Lucknow, Uttar Pradesh - 226628",0522-75802815,+91-7909150257,dr.karthik.sharma@sgpgims.com,Lucknow,Uttar Pradesh,₹500-800,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Hindi",CORRECT_DATA
P200,Dr. Vikram Kulkarni,RMC/88972/2012,"MBBS, MS (Orthopedics)",Orthopedic Surgeon,Bikaner Medical Center,"755, Ganga Shahar, Bikaner, Rajasthan - 334332",0151-54163238,+91-8372462149,dr.vikram.kulkarni@bikaner.com,Bikaner,Rajasthan,₹1000-1500,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Hindi",CORRECT_DATA
